Clave_mun,longitud,latitud,altitud,totreg,ingtoper,Censo_y_edu,Censo_y_salud,Censo_y_ss,Censo_y_cv,Censo_y_sbv,Censo_y_ali,Censo_y_ing,Censo_y_esco,Enigh_y_edu,Enigh_y_salud,Enigh_y_ss,Enigh_y_cv,Enigh_y_sbv,Enigh_y_ali2,Enigh_y_ing,Nb_mun,Population,Gini_coef
126,962625,191655,50,30717,21300000,0.2852,0.42,0.496,0.2516,0.255,0.047,0.6934,4.7563,0.2971391,0.375721,0.6552551,0.1144317,0.272795,0.1528696,1.71786,Paso de Ovejas,36146,0.3905114
127,970803,185541,1600,17974,4358799,0.3844,0.9704,0.9701,0.852,0.8581,0.4991,0.2425,1.8474,0.4967278,0.6445912,0.9717674,0.4493123,0.762894,0.321419,0.609,La Perla,20021,0.4250051
128,971434,193336,2400,53134,29700000,0.3085,0.779,0.7647,0.4445,0.3773,0.0678,0.559,4.3026,0.2653726,0.4836103,0.8287922,0.2306323,0.1123196,0.3044083,1.76519,Perote,65609,0.3873079
129,982225,211619,60,17468,7728960,0.3268,0.8454,0.843,0.7659,0.8041,0.2772,0.4425,3.6282,0.2910973,0.1354271,0.8145192,0.4559304,0.5848243,0.2857824,1.45955,Platón Sánchez,17965,0.4574251
130,954841,174949,50,49444,23900000,0.3339,0.9419,0.939,0.3692,0.8566,0.1662,0.4834,3.4875,0.3606261,0.5634621,0.9069576,0.1956778,0.7224361,0.3243321,1.17182,Playa Vicente,41912,0.4529108
131,972714,203206,50,152222,203000000,0.1596,0.436,0.43,0.2712,0.3466,0.0507,1.3336,6.8029,0.1289507,0.2534827,0.453565,0.2065368,0.1687995,0.2355087,3.98316,Poza Rica de Hidalgo,198934,0.4400753
132,970555,193806,2420,14157,5263373,0.3351,0.9051,0.897,0.4627,0.6089,0.0898,0.3718,3.7367,0.3403133,0.3233687,0.8838575,0.3319523,0.5601668,0.2322149,1.22012,Las Vigas de Ramírez,19106,0.4690148
133,975010,221100,10,50546,46100000,0.1926,0.5279,0.5085,0.4029,0.6885,0.0672,0.912,5.2398,0.2056279,0.3183563,0.5868878,0.2107691,0.5948156,0.2529566,2.09987,Pueblo Viejo,57280,0.3958532
134,962900,191937,100,18975,15600000,0.3396,0.7343,0.6364,0.2501,0.4559,0.0647,0.8221,4.4333,0.3585501,0.5455239,0.6937579,0.0725643,0.2218645,0.2688194,1.79252,Puente Nacional,20388,0.4463734
135,970410,184835,1160,14736,6330889,0.3101,0.8386,0.8246,0.6629,0.5338,0.2854,0.4296,4.0282,0.3002912,0.5551571,0.8072126,0.5088531,0.5305806,0.2281053,1.3739,Rafael Delgado,19689,0.4716164
136,965927,193526,1840,5330,2858240,0.2645,0.7846,0.7754,0.3499,0.3008,0.0842,0.5363,4.3994,0.239305,0.4980092,0.8316795,0.1967037,0.1566128,0.2818463,1.76771,Rafael Lucio,7110,0.3733749
137,970230,184009,1600,4191,799571,0.3782,0.9661,0.9656,0.9704,0.9599,0.6862,0.1908,2.1207,0.380954,0.4566366,0.9667804,0.4743706,0.9149032,0.3205118,0.67964,Los Reyes,5307,0.4274582
138,970906,185004,1300,39295,50000000,0.1382,0.4591,0.438,0.1646,0.0721,0.022,1.2724,6.9216,0.1356178,0.3068415,0.5110632,0.1079742,0.1055275,0.2131518,3.92949,Río Blanco,40290,0.4266737
139,953152,183523,10,5697,3405619,0.4021,0.5791,0.5708,0.3179,0.4211,0.1704,0.5978,3.4759,0.3840407,0.2719572,0.5489804,0.04539,0.1431112,0.1778163,1.76988,Saltabarranca,5392,0.3996552
140,970540,184718,1200,2210,657252,0.4213,0.9715,0.9729,0.8005,0.8842,0.3661,0.2974,2.6661,0.4121778,0.3110775,0.9579016,0.4925054,0.8303356,0.2574075,0.79694,San Andrés Tenejapan,2653,0.429098
141,951244,182659,300,141656,56800000,0.3431,0.8161,0.8091,0.6627,0.6617,0.3155,0.401,3.3811,0.3531621,0.3894835,0.8094334,0.2944375,0.2650858,0.2034179,1.502,San Andrés Tuxtla,153146,0.4712431
142,950838,175303,20,32822,13500000,0.3701,0.9061,0.8967,0.3678,0.5616,0.1911,0.4113,3.506,0.3980966,0.4679642,0.8891694,0.1923226,0.6806852,0.308367,1.18204,San Juan Evangelista,36099,0.4262356
143,951758,182742,180,54345,19900000,0.3798,0.8066,0.7978,0.5121,0.6792,0.1841,0.3662,3.4659,0.3975729,0.2873518,0.8227427,0.23491,0.4113432,0.2293489,1.31113,Santiago Tuxtla,55874,0.4610018
144,945735,175254,80,27991,7939343,0.2805,0.9357,0.9253,0.5559,0.8955,0.2707,0.2836,3.0805,0.319308,0.4783696,0.8703232,0.3235865,0.5477744,0.3243123,1.25565,Sayula de Alemán,33150,0.4300641
145,945253,175747,60,11426,5983350,0.2803,0.7854,0.759,0.406,0.4106,0.1701,0.5237,4.5721,0.1859686,0.3276356,0.5952942,0.1705272,0.3331028,0.2194644,2.41045,Soconusco,14276,0.4295585
146,965619,191131,1320,3101,977911,0.4179,0.9832,0.9839,0.5527,0.6217,0.1709,0.3154,3.1393,0.3540294,0.2555018,0.9672931,0.27519,0.4442229,0.300314,0.738,Sochiapa,3522,0.3614118
147,970908,184518,2100,16385,4338488,0.3813,0.9844,0.9962,0.9388,0.9625,0.4771,0.2648,1.5894,0.4997384,0.3088914,0.9783034,0.6076113,0.9909418,0.3951208,0.63255,Soledad Atzompa,22004,0.4074396
148,962458,190243,100,27123,12500000,0.4203,0.872,0.8598,0.4735,0.6452,0.1545,0.4609,3.7775,0.3785889,0.4295526,0.8201248,0.2108883,0.3292861,0.2343934,1.44495,Soledad de Doblado,27673,0.3859897
149,945222,181357,440,27481,3631759,0.3217,0.92,0.9847,0.841,0.8708,0.6279,0.1322,1.6746,0.4249532,0.1758196,0.9514267,0.5977253,0.8567403,0.4889892,0.77146,Soteapan,31719,0.462047
